t=5.350000, y(t)=1.630552, y'(t)=0.247709, z(t)=-5.329282, z'(t)=-1.760265, v(t)=0.189853, v'(t)=-0.173099, X(t)=-0.155386, Y(t)=-1.845341, Z(t)=2.597255
t=5.400000, y(t)=1.642914, y'(t)=0.246781, z(t)=-5.418182, z'(t)=-1.795270, v(t)=0.169677, v'(t)=-0.625228, X(t)=-0.173829, Y(t)=-2.055972, Z(t)=2.406163
t=5.450000, y(t)=1.655230, y'(t)=0.245858, z(t)=-5.508759, z'(t)=-1.827281, v(t)=0.128667, v'(t)=-0.997957, X(t)=-0.184513, Y(t)=-2.236441, Z(t)=2.180102
t=5.500000, y(t)=1.667500, y'(t)=0.244937, z(t)=-5.600854, z'(t)=-1.855952, v(t)=0.071986, v'(t)=-1.245693, X(t)=-0.187044, Y(t)=-2.384183, Z(t)=1.928155
t=5.550000, y(t)=1.679724, y'(t)=0.244021, z(t)=-5.694293, z'(t)=-1.880957, v(t)=0.006706, v'(t)=-1.338496, X(t)=-0.181555, Y(t)=-2.500246, Z(t)=1.660148
t=5.600000, y(t)=1.691902, y'(t)=0.243107, z(t)=-5.788884, z'(t)=-1.901997, v(t)=-0.059075, v'(t)=-1.265689, X(t)=-0.168557, Y(t)=-2.588897, Z(t)=1.385005
t=5.650000, y(t)=1.704035, y'(t)=0.242197, z(t)=-5.884422, z'(t)=-1.918807, v(t)=-0.117239, v'(t)=-1.037081, X(t)=-0.148695, Y(t)=-2.656585, Z(t)=1.109395
t=5.700000, y(t)=1.716122, y'(t)=0.241291, z(t)=-5.980690, z'(t)=-1.931164, v(t)=-0.160647, v'(t)=-0.681657, X(t)=-0.122492, Y(t)=-2.710436, Z(t)=0.836935
t=5.750000, y(t)=1.728164, y'(t)=0.240388, z(t)=-6.077461, z'(t)=-1.938891, v(t)=-0.184017, v'(t)=-0.243904, X(t)=-0.090151, Y(t)=-2.756603, Z(t)=0.568130
t=5.800000, y(t)=1.740161, y'(t)=0.239488, z(t)=-6.174500, z'(t)=-1.941864, v(t)=-0.184566, v'(t)=0.221756, X(t)=-0.051476, Y(t)=-2.798822, Z(t)=0.301024
t=5.850000, y(t)=1.752113, y'(t)=0.238592, z(t)=-6.271567, z'(t)=-1.940015, v(t)=-0.162340, v'(t)=0.657730, X(t)=-0.005945, Y(t)=-2.837468, Z(t)=0.032427
t=5.900000, y(t)=1.764020, y'(t)=0.237698, z(t)=-6.368421, z'(t)=-1.933332, v(t)=-0.120195, v'(t)=1.010374, X(t)=0.047078, Y(t)=-2.869350, Z(t)=-0.240603
t=5.950000, y(t)=1.775883, y'(t)=0.236809, z(t)=-6.464821, z'(t)=-1.921860, v(t)=-0.063431, v'(t)=1.236595, X(t)=0.108028, Y(t)=-2.888261, Z(t)=-0.519340
t=6.000000, y(t)=1.787701, y'(t)=0.235922, z(t)=-6.560529, z'(t)=-1.905702, v(t)=0.000876, v'(t)=1.309111, X(t)=0.176825, Y(t)=-2.886201, Z(t)=-0.802393
t=6.050000, y(t)=1.799475, y'(t)=0.235039, z(t)=-6.655315, z'(t)=-1.885011, v(t)=0.064754, v'(t)=1.219744, X(t)=0.252612, Y(t)=-2.854987, Z(t)=-1.085336
t=6.100000, y(t)=1.811205, y'(t)=0.234160, z(t)=-6.748958, z'(t)=-1.859992, v(t)=0.120323, v'(t)=0.980329, X(t)=0.333668, Y(t)=-2.787930, Z(t)=-1.361076
t=6.150000, y(t)=1.822891, y'(t)=0.233283, z(t)=-6.841246, z'(t)=-1.830888, v(t)=0.160769, v'(t)=0.621154, X(t)=0.417492, Y(t)=-2.681228, Z(t)=-1.620857
t=6.200000, y(t)=1.834533, y'(t)=0.232410, z(t)=-6.931983, z'(t)=-1.797982, v(t)=0.181177, v'(t)=0.187133, X(t)=0.501088, Y(t)=-2.534796, Z(t)=-1.855696
t=6.250000, y(t)=1.846132, y'(t)=0.231540, z(t)=-7.020986, z'(t)=-1.761583, v(t)=0.179129, v'(t)=-0.267809, X(t)=0.581389, Y(t)=-2.352395, Z(t)=-2.057932
t=6.300000, y(t)=1.857688, y'(t)=0.230673, z(t)=-7.108089, z'(t)=-1.722021, v(t)=0.154990, v'(t)=-0.687436, X(t)=0.655726, Y(t)=-2.141064, Z(t)=-2.222573
t=6.350000, y(t)=1.869200, y'(t)=0.229810, z(t)=-7.193141, z'(t)=-1.679641, v(t)=0.111848, v'(t)=-1.020150, X(t)=0.722266, Y(t)=-1.909991, Z(t)=-2.348162
t=6.400000, y(t)=1.880669, y'(t)=0.228950, z(t)=-7.276012, z'(t)=-1.634792, v(t)=0.055122, v'(t)=-1.225334, X(t)=0.780300, Y(t)=-1.669088, Z(t)=-2.437016
t=6.450000, y(t)=1.892095, y'(t)=0.228093, z(t)=-7.356585, z'(t)=-1.587825, v(t)=-0.008122, v'(t)=-1.278308, X(t)=0.830344, Y(t)=-1.427541, Z(t)=-2.494792
t=6.500000, y(t)=1.903478, y'(t)=0.227239, z(t)=-7.434765, z'(t)=-1.539083, v(t)=-0.070048, v'(t)=-1.173297, X(t)=0.874004, Y(t)=-1.192623, Z(t)=-2.529503
