t=6.150000, y(t)=4.760594, y'(t)=0.761448, z(t)=4.404290, z'(t)=0.010654, v(t)=0.000000, v'(t)=0.000000, X(t)=-4.399174, Y(t)=0.212227, Z(t)=0.000000
t=6.200000, y(t)=4.798662, y'(t)=0.761252, z(t)=4.404819, z'(t)=0.010493, v(t)=0.000000, v'(t)=0.000000, X(t)=-4.388436, Y(t)=0.379544, Z(t)=0.000000
t=6.250000, y(t)=4.836719, y'(t)=0.761056, z(t)=4.405339, z'(t)=0.010334, v(t)=0.000000, v'(t)=0.000000, X(t)=-4.371334, Y(t)=0.546307, Z(t)=0.000000
t=6.300000, y(t)=4.874767, y'(t)=0.760860, z(t)=4.405852, z'(t)=0.010177, v(t)=0.000000, v'(t)=0.000000, X(t)=-4.347896, Y(t)=0.712274, Z(t)=0.000000
t=6.350000, y(t)=4.912805, y'(t)=0.760664, z(t)=4.406357, z'(t)=0.010022, v(t)=0.000000, v'(t)=0.000000, X(t)=-4.318158, Y(t)=0.877205, Z(t)=0.000000
t=6.400000, y(t)=4.950834, y'(t)=0.760468, z(t)=4.406854, z'(t)=0.009869, v(t)=0.000000, v'(t)=0.000000, X(t)=-4.282169, Y(t)=1.040861, Z(t)=0.000000
t=6.450000, y(t)=4.988852, y'(t)=0.760273, z(t)=4.407344, z'(t)=0.009717, v(t)=0.000000, v'(t)=0.000000, X(t)=-4.239983, Y(t)=1.203005, Z(t)=0.000000
t=6.500000, y(t)=5.026861, y'(t)=0.760077, z(t)=4.407826, z'(t)=0.009566, v(t)=0.000000, v'(t)=0.000000, X(t)=-4.191666, Y(t)=1.363403, Z(t)=0.000000
t=6.550000, y(t)=5.064860, y'(t)=0.759881, z(t)=4.408301, z'(t)=0.009416, v(t)=0.000000, v'(t)=0.000000, X(t)=-4.137290, Y(t)=1.521823, Z(t)=0.000000
t=6.600000, y(t)=5.102849, y'(t)=0.759686, z(t)=4.408768, z'(t)=0.009267, v(t)=0.000000, v'(t)=0.000000, X(t)=-4.076938, Y(t)=1.678038, Z(t)=0.000000
t=6.650000, y(t)=5.140828, y'(t)=0.759490, z(t)=4.409227, z'(t)=0.009119, v(t)=0.000000, v'(t)=0.000000, X(t)=-4.010700, Y(t)=1.831821, Z(t)=0.000000
t=6.700000, y(t)=5.178798, y'(t)=0.759295, z(t)=4.409679, z'(t)=0.008971, v(t)=0.000000, v'(t)=0.000000, X(t)=-3.938677, Y(t)=1.982952, Z(t)=0.000000
